author,title,school,year,pages,ee,publisher,booktitle,address,journal,volume,number,month,url,cdrom,editor,cite,note,crossref,isbn,series,chapter,publnr
Roland Spannaus,Untersuchungen zur Anwendung der Digitalsimulation in der Zuverlässigkeitstheorie und deren praktische Realisierung in einem Rechenprogramm.,"Hochschule für Verkehrswesen, Dresden, Germany",1981,,https://d-nb.info/820235318,,,,,,,,,,,,"Dissertation A, former GDR",,,,,
Bernd Henniger,Spezielle Eingrössenregelungen mit Mikrorechnerregler.,"Technische Hochschule Magdeburg, Germany",1988,,https://d-nb.info/900007354,,,,,,,,,,,,,,,,,
Niklas Kirschnick,Modeling user perception and behavior when interacting with a mobile payment system.,"Technical University of Berlin, Germany",2016,,"https://nbn-resolving.org/urn:nbn:de:101:1-201804164092, https://d-nb.info/1156183936",,,,,,,,,,,,,,,,,
Fabio Schittler Neves,Universal Computation and Memory by Neural Switching.,University of Göttingen,2011,,"https://nbn-resolving.org/urn:nbn:de:gbv:7-webdoc-3194-1, https://d-nb.info/1042304882",,,,,,,,,,,,,,,,,
Hendrik Kooijman-Kurfürst,Numerical optimization of amplitude and phase modulated rf pulses.,"University of Bremen, Germany",1993,1-133,https://d-nb.info/931437709,,,,,,,,,,,,,,,,,
Tino Teige,Stochastic satisfiability modulo theories: a symbolic technique for the analysis of probabilistic hybrid systems.,Carl von Ossietzky University of Oldenburg,2012,1-325,"http://oops.uni-oldenburg.de/volltexte/2012/1469/, https://nbn-resolving.org/urn:nbn:de:gbv:715-oops-14696, https://d-nb.info/1026725305, https://d-nb.info/1041345119",,,,,,,,,,,,,,,,,
Zigmund Orlov,Netzgesteuertes adaptives Videostreaming über Mobilfunknetze.,"University of Stuttgart, Germany",2019,1-127,https://d-nb.info/1205094725,,,,,,,,,,,,,,978-3-938965-30-6,,,
Philipp Geiger,Causal models for decision making via integrative inference.,"University of Stuttgart, Germany",2017,,"https://nbn-resolving.org/urn:nbn:de:bsz:93-opus-ds-92537, https://d-nb.info/1140761846",,,,,,,,,,,,,,,,,
Thomas Zink 0002,Einfluß von handlungsbezogenen und kognitiven Persönlichkeitsmerkmalen auf das Lerngeschehen beim Wissenserwerb mit Hypertexten.,Friedrich Schiller University of Jena,1997,1-12,https://d-nb.info/952865726,,,,,,,,,,,,,,3-931147-52-5,,,
Phung duy Dung,Beiträge zur adaptiven Modellfindung linearer und nichtlinearer mechanischer Systeme.,"Dresden University of Technology, Germany",1981,,https://d-nb.info/830669493,,,,,,,,,,,,,,,,,
Fábio Ghignatti Beckenkamp,A component architecture for artificial neural network systems.,"University of Konstanz, Germany",2002,,"http://www.ub.uni-konstanz.de/kops/volltexte/2002/863/index.html, https://nbn-resolving.org/urn:nbn:de:bsz:352-opus-8635, https://d-nb.info/964923580",,,,,,,,,,,,,,,,,
Stefan König 0006,Über Expertensysteme für wissenschaftliches Rechnen mit Ergebnisverifikation.,"University of Basel, Switzerland",1992,1-175,https://d-nb.info/931681022,,,,,,,,,,,,,,,,,
Ulrich Weber-Steinhaus,Computerprogramme im deutschen Urheberrechtssystem.,"University of Münster, Germany",1993,1-181,https://d-nb.info/930739183,Heymann,,,,,,,,,,,,,978-3-452-22657-0,,,
Matthias Westphal,Qualitative constraint-based reasoning: methods and applications.,"University of Freiburg, Freiburg im Breisgau, Germany",2015,,"https://www.freidok.uni-freiburg.de/data/10148, https://nbn-resolving.org/urn:nbn:de:bsz:25-freidok-101488, https://d-nb.info/1119805627",,,,,,,,,,,,,,,,,
Ke Gong,New methods for 3D reconstructions using high resolution satellite data.,"University of Stuttgart, Germany",2021,,"https://nbn-resolving.org/urn:nbn:de:bsz:93-opus-ds-114709, https://d-nb.info/1233287826",,,,,,,,,,,,,,,,,
Klaus Jürgens,Asynchrone Iterationsverfahren zur Lösung linearer Gleichungssysteme auf massiv parallelen Multiprozessorrechnern.,"Bielefeld University, Germany",1994,1-113,https://d-nb.info/942817257,Shaker,,,,,,,,,,,,,978-3-8265-0364-1,,,
Andreas Brunnert,Continuous Performance Evaluation and Capacity Planning for Enterprise Applications.,Technical University Munich,2015,,"https://nbn-resolving.org/urn:nbn:de:bvb:91-diss-20151104-1271783-1-2, https://d-nb.info/1079001786",,,,,,,,,,,,,,,,,
Mahsa Mohammadikaji,Simulation-based Planning of Machine Vision Inspection Systems with an Application to Laser Triangulation.,"Karlsruhe Institute of Technology, Germany",2020,1-238,https://d-nb.info/1212529170,KIT Scientific Publishing,,,,,,,,,,,,,978-3-7315-0989-9,,,
Ulrich Naujokat,Untersuchungen zur Parallelisierung von Algorithmen der diskreten digitalen Simulation.,"Dresden University of Technology, Germany",1989,,https://d-nb.info/910039925,,,,,,,,,,,,,,,,,
Emilio Rafael Balda Cañizares,Robustness analysis of deep neural networks in the presence of adversarial perturbations and noisy labels.,"RWTH Aachen University, Germany",2019,1-125,"https://publications.rwth-aachen.de/record/780519, https://nbn-resolving.org/urn:nbn:de:101:1-2020081706551933469054, https://d-nb.info/120286015X, https://d-nb.info/1216040931",Apprimus Verlag,,,,,,,,,,,,,978-3-86359-802-0,,,
Ulf Witkowski,Einbettung selbstorganisierender Karten in autonome Miniroboter.,"University of Paderborn, Germany",2003,1-172,https://d-nb.info/968448763,,,,,,,,,,,,,,978-3-935433-36-5,,,
Oleg Travkin,Verifying concurrent programs under weak memory models.,"University of Paderborn, Germany",2017,,"https://nbn-resolving.org/urn:nbn:de:hbz:466:2-29964, https://d-nb.info/1148506217",,,,,,,,,,,,,,,,,
Petra Getfert,Adaptive verteilte Informationsverarbeitung: die Entwicklung Neuronaler Netze für den Einsatz in der Praxis.,"University of Bremen, Germany",1994,1-228,https://d-nb.info/943643236,,,,,,,,,,,,,,,,,
Nikolaus Franz Meier,"Aufbau eines integrierten EDV-Systems zur Planung, Durchführung und Auswertung von Feldversuchen.","Technical University Munich, Germany",1992,1-197,https://d-nb.info/930140923,,,,,,,,,,,,,,,,,
Kersten Liebermann,Rechnergestütztes Entwurfs- und Optimierungssystem für Schraubendruckfedern.,"Technische Universität Ilmenau, Germany",2003,1-118,https://d-nb.info/966331737,,,,,,,,,,,,,,978-3-932633-74-4,,,
Dirk Benyoucef,Codierte Multiträgerverfahren für Powerline- und Mobilfunkanwendungen.,"Saarland University, Saarbrücken, Germany",2003,1-196,https://d-nb.info/966471393,Logos,,,,,,,,,,,,,978-3-8325-0137-2,,,
Bernhard Fischer,Computergestützte Fernröntgenseitenanalyse am Beispiel von Dentofacial Planner und Orthognathic Treatment Planner: eine vergleichende Untersuchung.,"University of Regensburg, Germany",1993,1-100,https://d-nb.info/940995859,,,,,,,,,,,,,,,,,
Frank Böhr,Model-Based Statistical Testing of Embedded Real-Time Software with Continuous and Discrete Signals in a Concurrent Environment: The Usage Net Approach.,University of Kaiserslautern,2012,,"http://www.dr.hut-verlag.de/978-3-8439-0348-6.html, https://nbn-resolving.org/urn:nbn:de:101:1-201203244346, https://d-nb.info/1021072877",Verlag Dr. Hut,,,,,,,,,,,,,,,,
Felix Ott,An Integrated Data Analysis Suite and Programming Framework for High-Throughput DNA Sequencing.,"University of Tübingen, Germany",2014,,"https://publikationen.uni-tuebingen.de/xmlui/handle/10900/50000/, https://nbn-resolving.org/urn:nbn:de:bsz:21-opus-71711, https://d-nb.info/1162897147",,,,,,,,,,,,,,,,,
Horst-Lothar Fiedler,Ein schneller parallel-serieller Analog-Digital-Umsetzer in NMOS-Technologie.,"Technical University of Dortmund, Germany",1981,1-106,https://d-nb.info/820672475,,,,,,,,,,,,,,,,,
Rainer Erbes,Efficient parallel proximity queries and an application to highly complex motion planning problems with many narrow passages.,Johannes Gutenberg University Mainz,2013,1-124,"http://ubm.opus.hbz-nrw.de/volltexte/2013/3438/, https://nbn-resolving.org/urn:nbn:de:hebis:77-34388, https://d-nb.info/1035840715, https://d-nb.info/1037410866",,,,,,,,,,,,,,,,,
Hannah Kyungsun Baker,Decentralized authorization for inter-domain collaborations with iRBAC framework.,Hamburg University of Technology,2012,,"http://doku.b.tu-harburg.de/volltexte/2012/1152, https://nbn-resolving.org/urn:nbn:de:gbv:830-tubdok-11524, https://d-nb.info/1048542629",,,,,,,,,,,,,,,,,
Jakob Voß,Describing data patterns: a general deconstruction of metadata standards.,Humboldt University of Berlin,2013,1-270,"http://edoc.hu-berlin.de/dissertationen/voss-jakob-2013-05-31/PDF/voss.pdf, https://nbn-resolving.org/urn:nbn:de:kobv:11-100212118, https://d-nb.info/1041284497, https://d-nb.info/1046306081",,,,,,,,,,,,,,,,,
Heiko Siraf,Wiederaufsetzen in fehlertoleranten Mehrrechnersystemen.,"Technische Hochschule Wismar, Germany",1992,,https://d-nb.info/930342275,,,,,,,,,,,,,,,,,
Thomas Meyer 0006,Neue Verfahren zur adaptiven Reihenfolgefestlegung in regelungstechnischen Applikationen mit nicht-unterbrechbarer Verarbeitung.,"University of Trier, Germany",1992,1-165,https://d-nb.info/931700213,,,,,,,,,,,,,,,,,
Horst Birnstiel,Zur inhaltlichen und methodischen Gestaltung einer Grundlagenausbildung in Mikrorechentechnik auf den verschiedenen Stufen des einheitlichen sozialistischen Bildungssystems unter besonderer Berücksichtigung der Erwachsenenqualifizierung.,"University of Jena, Germany",1986,1-173,https://d-nb.info/880805803,,,,,,,,,,,,,,,,,
Michael Owonibi,Resource-Aware Decomposition of Geoprocessing Services Based on Declarative Request Languages.,Jacobs University,2012,,"http://www.jacobs-university.de/phd/files/phd20120228_owonibi.pdf, https://nbn-resolving.org/urn:nbn:de:101:1-201305294743, https://d-nb.info/1035266717",,,,,,,,,,,,,,,,,
Pascal Wortel,Efficient algorithms for production scheduling.,"Kaiserslautern University of Technology, Germany",2020,1-151,https://d-nb.info/1210659727,Fraunhofer Verlag,,,,,,,,,,,,,978-3-8396-1609-3,,,
Agnessa Wassilewa,Methodik zur Implementierung spezialisierter Compiler mit Hilfe UNIX-basierter Software-Werkzeuge.,"Technische Hochschule Ilmenau, Germany",1989,,https://d-nb.info/901259594,,,,,,,,,,,,,,,,,
Danny Hucke,Grammar-based compression for strings and trees.,"University of Siegen, Germany",2019,,"https://dspace.ub.uni-siegen.de/handle/ubsi/1536, https://nbn-resolving.org/urn:nbn:de:hbz:467-15361, https://d-nb.info/1202145949",,,,,,,,,,,,,,,,,
Sufian Hameed,"Leveraging Email based Social Networks to Prevent Spam: Framework, System Design and Evaluation.",University of Göttingen,2012,,"https://nbn-resolving.org/urn:nbn:de:gbv:7-webdoc-3702-8, https://d-nb.info/1043023739",,,,,,,,,,,,,,,,,
Hamdi El-Badawi Ahmad,A study of efficient digital speech processing systems with applications to arabic.,"ETH Zurich, Zürich, Switzerland",1984,,https://d-nb.info/947517456,,,,,,,,,,,,,,,,,
Birgit Ueberreiter,Automatisierte Erkennung aberrierter Chromosomen zur Realisierung eines biologischen Dosimeters.,"University of Heidelberg, Germany",1982,,https://d-nb.info/830946187,,,,,,,,,,,,,,,,,
Oskar Goecke,"Eliminationsprozesse in der kombinatorischen Optimierung, ein Beitrag zur Greedoidtheorie.","University of Bonn, Germany",1986,1-158,https://d-nb.info/870848046,,,,,,,,,,,,,,,,,
Mathias Weller,Aspects of preprocessing applied to combinatorial graph problems.,Berlin Institute of Technology,2013,1-183,"http://opus4.kobv.de/opus4-tuberlin/frontdoor/index/index/docId/3838, https://nbn-resolving.org/urn:nbn:de:kobv:83-opus-38783, https://d-nb.info/1041235925, https://d-nb.info/106654638X",,,,,,,,,,,,,,978-3-7983-2508-1,,,
Heinrich Beck,Entscheidbarkeit und Komplexität der Funktionsgleichheit von Programmen.,"Karlsruhe Institute of Technology, Germany",1981,1-220,https://d-nb.info/820345776,,,,,,,,,,,,,,,,,
Szaniszlo Fenyi,"Dynamische Systeme mit Aschinger-Matrizen, Modelle aus Ökologie und Operations Research.","Karlsruhe Institute of Technology, Germany",1985,1-163,https://d-nb.info/860116611,,,,,,,,,,,,,,,,,
Wiwat Ruenglertpanyakul,Development of an expert system for modeling of bioprocesses: integration of expert knowledge for modeling of bioprocesses.,"University of Hanover, Hannover, Germany",1996,1-105,https://d-nb.info/948894601,,,,,,,,,,,,,,,,,
Jens Neubert,Objektorientierte Datenmodellierung in der rechnerunterstützten Montageablaufplanung.,"Dresden University of Technology, Germany",1993,,https://d-nb.info/94120362X,,,,,,,,,,,,,,,,,
Heinz-Jürgen Przybilla,"Konzeption, Konfiguration und Einsatzmöglichkeiten digitaler Rechner in der Photogrammetrie.","University of Bonn, Germany",1985,1-105,https://d-nb.info/871455099,,,,,,,,,,,,,,,,,
