author,title,school,year,pages,ee,publisher,booktitle,address,journal,volume,number,month,url,cdrom,editor,cite,note,crossref,isbn,series,chapter,publnr
"Remco Chang, Caroline Ziemkiewicz",Algorithms: Introduction.,,2013,597-598,"https://doi.org/10.1007/978-1-4614-8806-4_46, https://www.wikidata.org/entity/Q105641850",,Handbook of Human Computation,,,,,,db/reference/sp/hc2013.html#ChangZ13,,,,,reference/sp/2013hc,,,,
"Xia Ning, Christian Desrosiers, George Karypis",A Comprehensive Survey of Neighborhood-Based Recommendation Methods.,,2015,37-76,https://doi.org/10.1007/978-1-4899-7637-6_2,,Recommender Systems Handbook,,,,,,db/reference/sp/rsh2015.html#NingDK15,,,,,reference/sp/2015rsh,,,,
"Michael J. Witbrock, Luka Bradesko",Conversational Computation.,,2013,531-543,"https://doi.org/10.1007/978-1-4614-8806-4_40, https://www.wikidata.org/entity/Q105641843",,Handbook of Human Computation,,,,,,db/reference/sp/hc2013.html#WitbrockB13,,,,,reference/sp/2013hc,,,,
"Luis Francisco Cómbita, Jairo Alonso Giraldo, Alvaro A. Cárdenas, Nicanor Quijano",DDDAS for Attack Detection and Isolation of Control Systems.,,2018,407-422,https://doi.org/10.1007/978-3-319-95504-9_17,,Handbook of Dynamic Data Driven Applications Systems,,,,,,db/reference/sp/dddas2018.html#CombitaGCQ18,,,,,reference/sp/2018dddas,,,,
"Kenneth Sörensen, Marc Sevaux, Fred W. Glover",A History of Metaheuristics.,,2018,791-808,https://doi.org/10.1007/978-3-319-07124-4_4,,Handbook of Heuristics,,,,,,db/reference/sp/heuristics2018.html#SorensenSG18,,,,,reference/sp/2018heuristics,,,,
"Fernando Turrado García, Ana Lucila Sandoval Orozco, Luis Javier García-Villalba",Building Scalable Software for Data Centers: An Approach to Distributed Computing at Enterprise Level.,,2015,669-689,https://doi.org/10.1007/978-1-4939-2092-1_23,,Handbook on Data Centers,,,,,,db/reference/sp/dc2015.html#GarciaOG15,,,,,reference/sp/2015dc,,,,
"Allan Axelrod, Luca Carlone, Girish Chowdhary 0001, Sertac Karaman",Data-Driven Prediction of Confidence for EVAR in Time-Varying Datasets.,,2018,381-404,https://doi.org/10.1007/978-3-319-95504-9_16,,Handbook of Dynamic Data Driven Applications Systems,,,,,,db/reference/sp/dddas2018.html#AxelrodCCK18,,,,,reference/sp/2018dddas,,,,
"Barry Smyth, Maurice Coyle, Peter Briggs, Kevin McNally, Michael P. O'Mahony","Collaboration, Reputation and Recommender Systems in Social Web Search.",,2015,569-608,https://doi.org/10.1007/978-1-4899-7637-6_17,,Recommender Systems Handbook,,,,,,db/reference/sp/rsh2015.html#SmythCBMO15,,,,,reference/sp/2015rsh,,,,
"Juan Pablo Hourcade, Lisa P. Nathan",Human Computation and Conflict.,,2013,993-1009,"https://doi.org/10.1007/978-1-4614-8806-4_77, https://www.wikidata.org/entity/Q105641881",,Handbook of Human Computation,,,,,,db/reference/sp/hc2013.html#HourcadeN13,,,,,reference/sp/2013hc,,,,
Kshanti A. Greene,Introduction to Techniques and Modalities.,,2013,279-283,"https://doi.org/10.1007/978-1-4614-8806-4_23, https://www.wikidata.org/entity/Q105641814",,Handbook of Human Computation,,,,,,db/reference/sp/hc2013.html#Greene13,,,,,reference/sp/2013hc,,,,
"Asad Waqar Malik, Samee U. Khan",Data Center Modeling and Simulation Using OMNeT++.,,2015,839-855,https://doi.org/10.1007/978-1-4939-2092-1_28,,Handbook on Data Centers,,,,,,db/reference/sp/dc2015.html#MalikK15,,,,,reference/sp/2015dc,,,,
"Ryan E. Grant, Mohammad J. Rashti, Pavan Balaji, Ahmad Afsahi",Scalable Network Communication Using Unreliable RDMA.,,2015,393-424,https://doi.org/10.1007/978-1-4939-2092-1_12,,Handbook on Data Centers,,,,,,db/reference/sp/dc2015.html#GrantRBA15,,,,,reference/sp/2015dc,,,,
Piero P. Bonissone,Machine Learning Applications.,,2015,783-821,https://doi.org/10.1007/978-3-662-43505-2_41,,Handbook of Computational Intelligence,,,,,,db/reference/sp/ci2015.html#Bonissone15,,,,,reference/sp/2015ci,,,,
Gabriele Steidl,Supervised Learning by Support Vector Machines.,,2015,1393-1453,https://doi.org/10.1007/978-1-4939-0790-8_22,,Handbook of Mathematical Methods in Imaging,,,,,,db/reference/sp/mmi2015.html#Steidl15,,,,,reference/sp/2015mmi,,,,
"Francisco Luna, Enrique Alba",Parallel Multiobjective Evolutionary Algorithms.,,2015,1017-1031,https://doi.org/10.1007/978-3-662-43505-2_50,,Handbook of Computational Intelligence,,,,,,db/reference/sp/ci2015.html#LunaA15,,,,,reference/sp/2015ci,,,,
"Michael G. Epitropakis, Edmund K. Burke",Hyper-heuristics.,,2018,489-545,https://doi.org/10.1007/978-3-319-07124-4_32,,Handbook of Heuristics,,,,,,db/reference/sp/heuristics2018.html#EpitropakisB18,,,,,reference/sp/2018heuristics,,,,
"Jhon Edgar Amaya, Carlos Cotta Porras, Antonio José Fernández Leiva",Memetic and Hybrid Evolutionary Algorithms.,,2015,1047-1060,https://doi.org/10.1007/978-3-662-43505-2_52,,Handbook of Computational Intelligence,,,,,,db/reference/sp/ci2015.html#AmayaPL15,,,,,reference/sp/2015ci,,,,
"Pablo Castells, Neil J. Hurley, Saul Vargas",Novelty and Diversity in Recommender Systems.,,2015,881-918,https://doi.org/10.1007/978-1-4899-7637-6_26,,Recommender Systems Handbook,,,,,,db/reference/sp/rsh2015.html#CastellsHV15,,,,,reference/sp/2015rsh,,,,
"Gediminas Adomavicius, Alexander Tuzhilin",Context-Aware Recommender Systems.,,2015,191-226,"https://doi.org/10.1007/978-1-4899-7637-6_6, https://www.wikidata.org/entity/Q56287484",,Recommender Systems Handbook,,,,,,db/reference/sp/rsh2015.html#AdomaviciusT15,,,,,reference/sp/2015rsh,,,,
"Mishal Thapa, Bodiuzzaman Jony, Sameer B. Mulani, Samit Roy",Development of Intelligent and Predictive Self-Healing Composite Structures Using Dynamic Data-Driven Applications Systems.,,2018,173-191,https://doi.org/10.1007/978-3-319-95504-9_9,,Handbook of Dynamic Data Driven Applications Systems,,,,,,db/reference/sp/dddas2018.html#ThapaJMR18,,,,,reference/sp/2018dddas,,,,
"Elena Simperl, Maribel Acosta, Fabian Flöck",Knowledge Engineering via Human Computation.,,2013,131-151,"https://doi.org/10.1007/978-1-4614-8806-4_13, https://www.wikidata.org/entity/Q105641802",,Handbook of Human Computation,,,,,,db/reference/sp/hc2013.html#SimperlAF13,,,,,reference/sp/2013hc,,,,
"Chang Liu 0001, Rajiv Ranjan, Xuyun Zhang, Chi Yang, Jinjun Chen",A Big Picture of Integrity Verification of Big Data in Cloud Computing.,,2015,631-645,https://doi.org/10.1007/978-1-4939-2092-1_21,,Handbook on Data Centers,,,,,,db/reference/sp/dc2015.html#LiuRZYC15,,,,,reference/sp/2015dc,,,,
"Dominic DiFranzo, James A. Hendler",The Semantic Web and the Next Generation of Human Computation.,,2013,523-530,"https://doi.org/10.1007/978-1-4614-8806-4_39, https://www.wikidata.org/entity/Q105641842",,Handbook of Human Computation,,,,,,db/reference/sp/hc2013.html#DiFranzoH13,,,,,reference/sp/2013hc,,,,
Konstantinos E. Parsopoulos,Particle Swarm Methods.,,2018,639-685,https://doi.org/10.1007/978-3-319-07124-4_22,,Handbook of Heuristics,,,,,,db/reference/sp/heuristics2018.html#Parsopoulos18,,,,,reference/sp/2018heuristics,,,,
